instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_group,temp_group
4810,2011-07-24,3,0,7,7,0,0,0,1,0.8,0.7727,0.59,0.1343,6,29,35,Normal Weather,High Temp
4811,2011-07-24,3,0,7,8,0,0,0,1,0.82,0.7879,0.56,0.2836,22,82,104,Normal Weather,High Temp
4812,2011-07-24,3,0,7,9,0,0,0,1,0.82,0.7879,0.56,0.3881,42,112,154,Normal Weather,High Temp
4813,2011-07-24,3,0,7,10,0,0,0,1,0.86,0.8182,0.5,0.3284,61,165,226,Normal Weather,High Temp
4814,2011-07-24,3,0,7,11,0,0,0,1,0.84,0.803,0.53,0.2537,74,169,243,Normal Weather,High Temp
4815,2011-07-24,3,0,7,12,0,0,0,1,0.9,0.8636,0.45,0.1642,85,161,246,Normal Weather,High Temp
4816,2011-07-24,3,0,7,13,0,0,0,1,0.86,0.803,0.47,0.2239,90,162,252,Normal Weather,High Temp
4817,2011-07-24,3,0,7,14,0,0,0,1,0.86,0.8182,0.5,0.2836,79,204,283,Normal Weather,High Temp
4818,2011-07-24,3,0,7,15,0,0,0,1,0.9,0.8485,0.42,0.2537,68,170,238,Normal Weather,High Temp
4819,2011-07-24,3,0,7,16,0,0,0,1,0.9,0.8485,0.42,0.2537,62,187,249,Normal Weather,High Temp
4820,2011-07-24,3,0,7,17,0,0,0,1,0.9,0.8333,0.39,0.1045,75,174,249,Normal Weather,High Temp
4821,2011-07-24,3,0,7,18,0,0,0,1,0.88,0.8182,0.42,0.1642,67,176,243,Normal Weather,High Temp
4822,2011-07-24,3,0,7,19,0,0,0,1,0.86,0.803,0.47,0.1642,70,170,240,Normal Weather,High Temp
4823,2011-07-24,3,0,7,20,0,0,0,1,0.84,0.7879,0.49,0.1642,52,143,195,Normal Weather,High Temp
4824,2011-07-24,3,0,7,21,0,0,0,1,0.8,0.7879,0.63,0.1343,42,111,153,Normal Weather,High Temp
4825,2011-07-24,3,0,7,22,0,0,0,1,0.78,0.7576,0.66,0.0,23,75,98,Normal Weather,High Temp
4826,2011-07-24,3,0,7,23,0,0,0,2,0.76,0.7273,0.7,0.0896,13,37,50,Normal Weather,High Temp
4827,2011-07-25,3,0,7,0,0,1,1,2,0.76,0.7273,0.7,0.0,17,17,34,Normal Weather,High Temp
4828,2011-07-25,3,0,7,1,0,1,1,2,0.76,0.7424,0.75,0.0896,4,8,12,Normal Weather,High Temp
4829,2011-07-25,3,0,7,2,0,1,1,2,0.74,0.7121,0.79,0.0896,3,3,6,Normal Weather,High Temp
4830,2011-07-25,3,0,7,3,0,1,1,1,0.74,0.7121,0.79,0.0,2,2,4,Normal Weather,High Temp
4831,2011-07-25,3,0,7,4,0,1,1,1,0.72,0.7121,0.84,0.0896,0,6,6,Normal Weather,High Temp
4832,2011-07-25,3,0,7,5,0,1,1,1,0.72,0.7121,0.84,0.0896,2,22,24,Normal Weather,High Temp
4833,2011-07-25,3,0,7,6,0,1,1,2,0.72,0.7121,0.84,0.0896,7,100,107,Normal Weather,High Temp
4834,2011-07-25,3,0,7,7,0,1,1,2,0.74,0.7121,0.79,0.0,20,257,277,Normal Weather,High Temp
4835,2011-07-25,3,0,7,8,0,1,1,2,0.76,0.7424,0.75,0.0,34,353,387,Normal Weather,High Temp
4836,2011-07-25,3,0,7,9,0,1,1,1,0.8,0.803,0.66,0.0,11,124,135,Normal Weather,High Temp
4837,2011-07-25,3,0,7,10,0,1,1,1,0.82,0.803,0.59,0.0,30,54,84,Normal Weather,High Temp
4838,2011-07-25,3,0,7,11,0,1,1,2,0.84,0.8333,0.59,0.194,24,83,107,Normal Weather,High Temp
4839,2011-07-25,3,0,7,12,0,1,1,2,0.84,0.8333,0.59,0.194,17,50,67,Normal Weather,High Temp
4840,2011-07-25,3,0,7,13,0,1,1,2,0.74,0.7121,0.74,0.1343,14,64,78,Normal Weather,High Temp
4841,2011-07-25,3,0,7,14,0,1,1,2,0.72,0.697,0.79,0.194,28,62,90,Normal Weather,High Temp
4842,2011-07-25,3,0,7,15,0,1,1,1,0.7,0.6667,0.84,0.3881,16,96,112,Normal Weather,High Temp
4843,2011-07-25,3,0,7,16,0,1,1,1,0.7,0.6667,0.84,0.2239,37,161,198,Normal Weather,High Temp
4844,2011-07-25,3,0,7,17,0,1,1,1,0.72,0.697,0.74,0.0,48,437,485,Normal Weather,High Temp
4845,2011-07-25,3,0,7,18,0,1,1,1,0.74,0.7121,0.74,0.0896,60,473,533,Normal Weather,High Temp
4846,2011-07-25,3,0,7,19,0,1,1,1,0.74,0.697,0.7,0.0896,62,324,386,Normal Weather,High Temp
4847,2011-07-25,3,0,7,20,0,1,1,1,0.72,0.697,0.74,0.1343,55,247,302,Normal Weather,High Temp
4848,2011-07-25,3,0,7,21,0,1,1,1,0.7,0.6667,0.84,0.0,41,153,194,Normal Weather,High Temp
4849,2011-07-25,3,0,7,22,0,1,1,1,0.7,0.6667,0.84,0.0,13,112,125,Normal Weather,High Temp
4850,2011-07-25,3,0,7,23,0,1,1,1,0.7,0.6667,0.84,0.0896,23,64,87,Normal Weather,High Temp
4851,2011-07-26,3,0,7,0,0,2,1,1,0.7,0.6667,0.79,0.1045,8,20,28,Normal Weather,High Temp
4852,2011-07-26,3,0,7,1,0,2,1,1,0.7,0.6667,0.79,0.1045,6,6,12,Normal Weather,High Temp
4853,2011-07-26,3,0,7,2,0,2,1,1,0.68,0.6364,0.89,0.1045,1,6,7,Normal Weather,High Temp
4854,2011-07-26,3,0,7,3,0,2,1,1,0.68,0.6364,0.89,0.1343,2,2,4,Normal Weather,High Temp
4855,2011-07-26,3,0,7,4,0,2,1,1,0.68,0.6364,0.88,0.1642,0,6,6,Normal Weather,High Temp
4856,2011-07-26,3,0,7,5,0,2,1,1,0.66,0.5909,0.89,0.0896,3,24,27,Normal Weather,High Temp
4857,2011-07-26,3,0,7,6,0,2,1,1,0.68,0.6364,0.83,0.2239,2,108,110,Normal Weather,High Temp
4858,2011-07-26,3,0,7,7,0,2,1,1,0.72,0.6818,0.66,0.2836,30,288,318,Normal Weather,High Temp
4859,2011-07-26,3,0,7,8,0,2,1,1,0.74,0.6818,0.55,0.194,32,392,424,Normal Weather,High Temp
4860,2011-07-26,3,0,7,9,0,2,1,1,0.76,0.6818,0.4,0.2239,25,162,187,Normal Weather,High Temp
4861,2011-07-26,3,0,7,10,0,2,1,1,0.8,0.697,0.31,0.2239,42,96,138,Normal Weather,High Temp
4862,2011-07-26,3,0,7,11,0,2,1,1,0.82,0.7121,0.3,0.0,49,102,151,Normal Weather,High Temp
4863,2011-07-26,3,0,7,12,0,2,1,1,0.84,0.7273,0.28,0.0,25,122,147,Normal Weather,High Temp
4864,2011-07-26,3,0,7,13,0,2,1,1,0.84,0.7273,0.32,0.2985,43,139,182,Normal Weather,High Temp
4865,2011-07-26,3,0,7,14,0,2,1,1,0.86,0.7424,0.3,0.2836,46,101,147,Normal Weather,High Temp
4866,2011-07-26,3,0,7,15,0,2,1,1,0.88,0.7576,0.28,0.3284,49,114,163,Normal Weather,High Temp
4867,2011-07-26,3,0,7,16,0,2,1,1,0.86,0.7576,0.36,0.2836,41,213,254,Normal Weather,High Temp
4868,2011-07-26,3,0,7,17,0,2,1,1,0.86,0.7576,0.36,0.3582,72,465,537,Normal Weather,High Temp
4869,2011-07-26,3,0,7,18,0,2,1,1,0.84,0.7424,0.39,0.3881,68,478,546,Normal Weather,High Temp
4870,2011-07-26,3,0,7,19,0,2,1,1,0.82,0.7424,0.43,0.2985,69,329,398,Normal Weather,High Temp
4871,2011-07-26,3,0,7,20,0,2,1,1,0.8,0.7273,0.46,0.2537,47,243,290,Normal Weather,High Temp
4872,2011-07-26,3,0,7,21,0,2,1,1,0.78,0.7121,0.49,0.2239,45,222,267,Normal Weather,High Temp
4873,2011-07-26,3,0,7,22,0,2,1,1,0.76,0.697,0.55,0.1343,27,131,158,Normal Weather,High Temp
4874,2011-07-26,3,0,7,23,0,2,1,1,0.76,0.7121,0.58,0.1045,18,71,89,Normal Weather,High Temp
4875,2011-07-27,3,0,7,0,0,3,1,2,0.78,0.7121,0.52,0.1642,19,26,45,Normal Weather,High Temp
4876,2011-07-27,3,0,7,1,0,3,1,1,0.78,0.7121,0.49,0.194,1,9,10,Normal Weather,High Temp
4877,2011-07-27,3,0,7,2,0,3,1,1,0.76,0.697,0.52,0.2985,1,5,6,Normal Weather,High Temp
4878,2011-07-27,3,0,7,3,0,3,1,1,0.72,0.6667,0.58,0.1642,0,4,4,Normal Weather,High Temp
4879,2011-07-27,3,0,7,4,0,3,1,1,0.72,0.6667,0.51,0.194,1,3,4,Normal Weather,High Temp
4880,2011-07-27,3,0,7,5,0,3,1,1,0.7,0.6515,0.54,0.2836,0,18,18,Normal Weather,High Temp
4881,2011-07-27,3,0,7,6,0,3,1,1,0.7,0.6515,0.54,0.2239,4,119,123,Normal Weather,High Temp
4882,2011-07-27,3,0,7,7,0,3,1,1,0.72,0.6667,0.48,0.2537,34,313,347,Normal Weather,High Temp
4883,2011-07-27,3,0,7,8,0,3,1,1,0.74,0.6667,0.42,0.2537,28,405,433,Normal Weather,High Temp
4884,2011-07-27,3,0,7,9,0,3,1,1,0.76,0.6667,0.35,0.2537,27,189,216,Normal Weather,High Temp
4885,2011-07-27,3,0,7,10,0,3,1,1,0.78,0.6818,0.33,0.0,32,82,114,Normal Weather,High Temp
4886,2011-07-27,3,0,7,11,0,3,1,1,0.8,0.697,0.31,0.0,42,94,136,Normal Weather,High Temp
4887,2011-07-27,3,0,7,12,0,3,1,1,0.82,0.7121,0.3,0.2836,37,132,169,Normal Weather,High Temp
4888,2011-07-27,3,0,7,13,0,3,1,1,0.84,0.7273,0.3,0.3582,29,151,180,Normal Weather,High Temp
4889,2011-07-27,3,0,7,14,0,3,1,1,0.84,0.7273,0.28,0.2239,20,107,127,Normal Weather,High Temp
4890,2011-07-27,3,0,7,15,0,3,1,1,0.86,0.7424,0.26,0.2537,37,103,140,Normal Weather,High Temp
4891,2011-07-27,3,0,7,16,0,3,1,1,0.86,0.7273,0.25,0.1642,40,228,268,Normal Weather,High Temp
4892,2011-07-27,3,0,7,17,0,3,1,1,0.84,0.7121,0.26,0.2239,81,491,572,Normal Weather,High Temp
4893,2011-07-27,3,0,7,18,0,3,1,1,0.82,0.7121,0.28,0.1045,78,463,541,Normal Weather,High Temp
4894,2011-07-27,3,0,7,19,0,3,1,1,0.8,0.697,0.29,0.0896,87,288,375,Normal Weather,High Temp
4895,2011-07-27,3,0,7,20,0,3,1,1,0.76,0.6818,0.45,0.2239,55,239,294,Normal Weather,High Temp
4896,2011-07-27,3,0,7,21,0,3,1,1,0.74,0.6667,0.48,0.1045,49,196,245,Normal Weather,High Temp
4897,2011-07-27,3,0,7,22,0,3,1,1,0.72,0.6667,0.48,0.0,37,143,180,Normal Weather,High Temp
4898,2011-07-27,3,0,7,23,0,3,1,1,0.74,0.6667,0.45,0.0896,16,93,109,Normal Weather,High Temp
4899,2011-07-28,3,0,7,0,0,4,1,1,0.7,0.6515,0.51,0.1343,14,31,45,Normal Weather,High Temp
4900,2011-07-28,3,0,7,1,0,4,1,1,0.72,0.6667,0.51,0.0,3,26,29,Normal Weather,High Temp
4901,2011-07-28,3,0,7,2,0,4,1,1,0.72,0.6667,0.54,0.1045,2,5,7,Normal Weather,High Temp
4902,2011-07-28,3,0,7,3,0,4,1,1,0.72,0.6667,0.54,0.0,0,5,5,Normal Weather,High Temp
4903,2011-07-28,3,0,7,4,0,4,1,1,0.7,0.6515,0.61,0.1045,0,6,6,Normal Weather,High Temp
4904,2011-07-28,3,0,7,5,0,4,1,1,0.7,0.6515,0.65,0.1045,1,26,27,Normal Weather,High Temp
4905,2011-07-28,3,0,7,6,0,4,1,1,0.7,0.6515,0.7,0.0896,6,110,116,Normal Weather,High Temp
4906,2011-07-28,3,0,7,7,0,4,1,1,0.72,0.6818,0.7,0.1642,27,278,305,Normal Weather,High Temp
4907,2011-07-28,3,0,7,8,0,4,1,1,0.74,0.697,0.66,0.1642,47,409,456,Normal Weather,High Temp
4908,2011-07-28,3,0,7,9,0,4,1,1,0.78,0.7424,0.59,0.194,21,189,210,Normal Weather,High Temp
4909,2011-07-28,3,0,7,10,0,4,1,1,0.8,0.7576,0.55,0.2836,30,86,116,Normal Weather,High Temp
4910,2011-07-28,3,0,7,11,0,4,1,1,0.84,0.8182,0.56,0.2836,41,113,154,Normal Weather,High Temp
4911,2011-07-28,3,0,7,12,0,4,1,1,0.84,0.803,0.53,0.2537,35,151,186,Normal Weather,High Temp
4912,2011-07-28,3,0,7,13,0,4,1,1,0.86,0.803,0.47,0.2537,26,126,152,Normal Weather,High Temp
4913,2011-07-28,3,0,7,14,0,4,1,2,0.84,0.7879,0.49,0.2537,27,111,138,Normal Weather,High Temp
4914,2011-07-28,3,0,7,15,0,4,1,1,0.86,0.8182,0.5,0.194,22,124,146,Normal Weather,High Temp
4915,2011-07-28,3,0,7,16,0,4,1,1,0.86,0.803,0.47,0.1642,42,214,256,Normal Weather,High Temp
4916,2011-07-28,3,0,7,17,0,4,1,1,0.84,0.803,0.53,0.194,45,423,468,Normal Weather,High Temp
4917,2011-07-28,3,0,7,18,0,4,1,1,0.84,0.8182,0.56,0.2239,55,428,483,Normal Weather,High Temp
4918,2011-07-28,3,0,7,19,0,4,1,1,0.82,0.803,0.59,0.194,37,285,322,Normal Weather,High Temp
4919,2011-07-28,3,0,7,20,0,4,1,1,0.8,0.7879,0.63,0.194,41,229,270,Normal Weather,High Temp
4920,2011-07-28,3,0,7,21,0,4,1,1,0.78,0.7576,0.66,0.2836,31,165,196,Normal Weather,High Temp
4921,2011-07-28,3,0,7,22,0,4,1,1,0.76,0.7273,0.7,0.2537,25,149,174,Normal Weather,High Temp
4922,2011-07-28,3,0,7,23,0,4,1,1,0.76,0.7424,0.75,0.194,28,95,123,Normal Weather,High Temp
4923,2011-07-29,3,0,7,0,0,5,1,1,0.74,0.7121,0.79,0.1642,12,45,57,Normal Weather,High Temp
4924,2011-07-29,3,0,7,1,0,5,1,1,0.74,0.7121,0.79,0.1343,12,22,34,Normal Weather,High Temp
4925,2011-07-29,3,0,7,2,0,5,1,1,0.74,0.7121,0.79,0.0,3,10,13,Normal Weather,High Temp
4926,2011-07-29,3,0,7,3,0,5,1,1,0.74,0.7121,0.79,0.0,2,9,11,Normal Weather,High Temp
4927,2011-07-29,3,0,7,4,0,5,1,1,0.72,0.7121,0.84,0.1343,2,4,6,Normal Weather,High Temp
4928,2011-07-29,3,0,7,5,0,5,1,1,0.72,0.7121,0.84,0.0,4,23,27,Normal Weather,High Temp
4929,2011-07-29,3,0,7,6,0,5,1,2,0.72,0.7121,0.84,0.0,7,83,90,Normal Weather,High Temp
4930,2011-07-29,3,0,7,7,0,5,1,2,0.74,0.7121,0.79,0.0896,26,228,254,Normal Weather,High Temp
4931,2011-07-29,3,0,7,8,0,5,1,2,0.76,0.7727,0.77,0.0,30,354,384,Normal Weather,High Temp
4932,2011-07-29,3,0,7,9,0,5,1,1,0.86,0.803,0.47,0.2537,28,151,179,Normal Weather,High Temp
4933,2011-07-29,3,0,7,10,0,5,1,1,0.9,0.8485,0.42,0.2836,37,69,106,Normal Weather,High Temp
4934,2011-07-29,3,0,7,11,0,5,1,1,0.92,0.8788,0.4,0.2985,43,118,161,Normal Weather,High Temp
4935,2011-07-29,3,0,7,12,0,5,1,1,0.96,0.8636,0.31,0.2836,40,95,135,Normal Weather,High Temp
4936,2011-07-29,3,0,7,13,0,5,1,1,0.94,0.8333,0.31,0.0,42,114,156,Normal Weather,High Temp
4937,2011-07-29,3,0,7,14,0,5,1,1,0.96,0.8636,0.3,0.2239,34,114,148,Normal Weather,High Temp
4938,2011-07-29,3,0,7,15,0,5,1,1,0.96,0.8636,0.3,0.2537,40,129,169,Normal Weather,High Temp
4939,2011-07-29,3,0,7,16,0,5,1,1,0.96,0.8636,0.3,0.3881,35,198,233,Normal Weather,High Temp
4940,2011-07-29,3,0,7,17,0,5,1,1,0.96,0.8636,0.3,0.2985,47,374,421,Normal Weather,High Temp
4941,2011-07-29,3,0,7,18,0,5,1,1,0.92,0.8636,0.37,0.3284,49,313,362,Normal Weather,High Temp
4942,2011-07-29,3,0,7,19,0,5,1,1,0.9,0.8485,0.42,0.2239,22,219,241,Normal Weather,High Temp
4943,2011-07-29,3,0,7,20,0,5,1,1,0.86,0.7879,0.41,0.3284,53,153,206,Normal Weather,High Temp
4944,2011-07-29,3,0,7,21,0,5,1,1,0.82,0.7576,0.46,0.1642,29,134,163,Normal Weather,High Temp
4945,2011-07-29,3,0,7,22,0,5,1,1,0.8,0.7424,0.49,0.2239,47,127,174,Normal Weather,High Temp
4946,2011-07-29,3,0,7,23,0,5,1,1,0.78,0.7121,0.52,0.1045,26,90,116,Normal Weather,High Temp
4947,2011-07-30,3,0,7,0,0,6,0,1,0.76,0.697,0.55,0.194,60,73,133,Normal Weather,High Temp
4948,2011-07-30,3,0,7,1,0,6,0,1,0.76,0.697,0.55,0.0896,15,75,90,Normal Weather,High Temp
4949,2011-07-30,3,0,7,2,0,6,0,1,0.76,0.697,0.55,0.1045,11,31,42,Normal Weather,High Temp
4950,2011-07-30,3,0,7,3,0,6,0,1,0.74,0.6818,0.62,0.1642,18,25,43,Normal Weather,High Temp
4951,2011-07-30,3,0,7,4,0,6,0,1,0.72,0.6818,0.66,0.1642,4,6,10,Normal Weather,High Temp
4952,2011-07-30,3,0,7,5,0,6,0,1,0.72,0.6818,0.7,0.2836,4,9,13,Normal Weather,High Temp
4953,2011-07-30,3,0,7,6,0,6,0,1,0.72,0.6818,0.7,0.2985,6,18,24,Normal Weather,High Temp
4954,2011-07-30,3,0,7,7,0,6,0,1,0.76,0.7273,0.66,0.194,3,39,42,Normal Weather,High Temp
4955,2011-07-30,3,0,7,8,0,6,0,1,0.78,0.7424,0.59,0.2239,27,87,114,Normal Weather,High Temp
4956,2011-07-30,3,0,7,9,0,6,0,1,0.82,0.7576,0.46,0.2985,49,125,174,Normal Weather,High Temp
4957,2011-07-30,3,0,7,10,0,6,0,1,0.82,0.7424,0.41,0.2985,79,182,261,Normal Weather,High Temp
4958,2011-07-30,3,0,7,11,0,6,0,1,0.84,0.7424,0.36,0.194,111,206,317,Normal Weather,High Temp
4959,2011-07-30,3,0,7,12,0,6,0,1,0.84,0.7273,0.32,0.1642,111,230,341,Normal Weather,High Temp
4960,2011-07-30,3,0,7,13,0,6,0,1,0.88,0.7576,0.29,0.0,125,183,308,Normal Weather,High Temp
4961,2011-07-30,3,0,7,14,0,6,0,1,0.9,0.7879,0.29,0.0,112,193,305,Normal Weather,High Temp
4962,2011-07-30,3,0,7,15,0,6,0,1,0.9,0.803,0.31,0.1343,113,189,302,Normal Weather,High Temp
4963,2011-07-30,3,0,7,16,0,6,0,1,0.9,0.7879,0.27,0.2239,126,176,302,Normal Weather,High Temp
4964,2011-07-30,3,0,7,17,0,6,0,1,0.9,0.7879,0.29,0.1045,93,209,302,Normal Weather,High Temp
4965,2011-07-30,3,0,7,18,0,6,0,1,0.88,0.7576,0.28,0.194,92,207,299,Normal Weather,High Temp
4966,2011-07-30,3,0,7,19,0,6,0,1,0.74,0.6515,0.33,0.2239,101,155,256,Normal Weather,High Temp
4967,2011-07-30,3,0,7,20,0,6,0,1,0.82,0.7424,0.43,0.1343,74,132,206,Normal Weather,High Temp
4968,2011-07-30,3,0,7,21,0,6,0,1,0.8,0.7424,0.49,0.1642,82,123,205,Normal Weather,High Temp
4969,2011-07-30,3,0,7,22,0,6,0,1,0.78,0.7121,0.52,0.1045,80,129,209,Normal Weather,High Temp
4970,2011-07-30,3,0,7,23,0,6,0,1,0.76,0.697,0.55,0.0896,63,114,177,Normal Weather,High Temp
4971,2011-07-31,3,0,7,0,0,0,0,1,0.76,0.697,0.55,0.0896,33,80,113,Normal Weather,High Temp
4972,2011-07-31,3,0,7,1,0,0,0,1,0.74,0.6818,0.62,0.0896,8,71,79,Normal Weather,High Temp
4973,2011-07-31,3,0,7,2,0,0,0,1,0.74,0.697,0.66,0.0896,19,48,67,Normal Weather,High Temp
4974,2011-07-31,3,0,7,3,0,0,0,1,0.74,0.697,0.66,0.0,24,26,50,Normal Weather,High Temp
4975,2011-07-31,3,0,7,4,0,0,0,1,0.72,0.6818,0.7,0.0,6,7,13,Normal Weather,High Temp
4976,2011-07-31,3,0,7,5,0,0,0,1,0.72,0.6818,0.69,0.0,4,4,8,Normal Weather,High Temp
4977,2011-07-31,3,0,7,6,0,0,0,1,0.74,0.697,0.7,0.0,5,8,13,Normal Weather,High Temp
4978,2011-07-31,3,0,7,7,0,0,0,1,0.74,0.6818,0.58,0.1343,19,26,45,Normal Weather,High Temp
4979,2011-07-31,3,0,7,8,0,0,0,1,0.76,0.697,0.55,0.2239,54,88,142,Normal Weather,High Temp
4980,2011-07-31,3,0,7,9,0,0,0,1,0.8,0.7424,0.49,0.0,55,128,183,Normal Weather,High Temp
4981,2011-07-31,3,0,7,10,0,0,0,1,0.84,0.7424,0.36,0.1642,91,163,254,Normal Weather,High Temp
4982,2011-07-31,3,0,7,11,0,0,0,1,0.86,0.7424,0.28,0.1642,112,163,275,Normal Weather,High Temp
4983,2011-07-31,3,0,7,12,0,0,0,1,0.9,0.7727,0.25,0.194,146,192,338,Normal Weather,High Temp
4984,2011-07-31,3,0,7,13,0,0,0,1,0.9,0.7727,0.24,0.1343,142,152,294,Normal Weather,High Temp
4985,2011-07-31,3,0,7,14,0,0,0,1,0.9,0.7727,0.24,0.1642,130,196,326,Normal Weather,High Temp
4986,2011-07-31,3,0,7,15,0,0,0,1,0.92,0.7727,0.18,0.2985,109,184,293,Normal Weather,High Temp
4987,2011-07-31,3,0,7,16,0,0,0,1,0.92,0.7727,0.17,0.2836,98,208,306,Normal Weather,High Temp
4988,2011-07-31,3,0,7,17,0,0,0,1,0.92,0.7727,0.16,0.1642,114,206,320,Normal Weather,High Temp
4989,2011-07-31,3,0,7,18,0,0,0,1,0.86,0.7879,0.41,0.2836,91,213,304,Normal Weather,High Temp
4990,2011-07-31,3,0,7,19,0,0,0,1,0.8,0.7576,0.55,0.3284,87,187,274,Normal Weather,High Temp
4991,2011-07-31,3,0,7,20,0,0,0,1,0.8,0.7576,0.55,0.3284,70,205,275,Normal Weather,High Temp
4992,2011-07-31,3,0,7,21,0,0,0,1,0.78,0.7424,0.59,0.2985,68,96,164,Normal Weather,High Temp
4993,2011-07-31,3,0,7,22,0,0,0,1,0.74,0.697,0.7,0.2985,25,71,96,Normal Weather,High Temp
4994,2011-07-31,3,0,7,23,0,0,0,1,0.74,0.697,0.66,0.2239,14,56,70,Normal Weather,High Temp
4995,2011-08-01,3,0,8,0,0,1,1,1,0.72,0.6818,0.7,0.2239,7,22,29,Normal Weather,High Temp
4996,2011-08-01,3,0,8,1,0,1,1,1,0.72,0.697,0.74,0.194,5,12,17,Normal Weather,High Temp
4997,2011-08-01,3,0,8,2,0,1,1,1,0.7,0.6667,0.74,0.1045,4,7,11,Normal Weather,High Temp
4998,2011-08-01,3,0,8,3,0,1,1,1,0.7,0.6667,0.79,0.1642,0,4,4,Normal Weather,High Temp
4999,2011-08-01,3,0,8,4,0,1,1,1,0.66,0.6061,0.83,0.1343,2,2,4,Normal Weather,High Temp
5000,2011-08-01,3,0,8,5,0,1,1,1,0.66,0.6061,0.83,0.1045,2,24,26,Normal Weather,High Temp
5001,2011-08-01,3,0,8,6,0,1,1,1,0.66,0.6061,0.83,0.0896,3,97,100,Normal Weather,High Temp
5002,2011-08-01,3,0,8,7,0,1,1,1,0.74,0.6818,0.62,0.0,24,258,282,Normal Weather,High Temp
5003,2011-08-01,3,0,8,8,0,1,1,1,0.8,0.7273,0.43,0.194,35,347,382,Normal Weather,High Temp
5004,2011-08-01,3,0,8,9,0,1,1,1,0.82,0.7424,0.41,0.0,27,139,166,Normal Weather,High Temp
5005,2011-08-01,3,0,8,10,0,1,1,1,0.86,0.7576,0.36,0.1642,27,70,97,Normal Weather,High Temp
5006,2011-08-01,3,0,8,11,0,1,1,1,0.88,0.7727,0.32,0.1642,53,66,119,Normal Weather,High Temp
5007,2011-08-01,3,0,8,12,0,1,1,1,0.9,0.803,0.33,0.2537,53,115,168,Normal Weather,High Temp
5008,2011-08-01,3,0,8,13,0,1,1,1,0.9,0.803,0.31,0.2985,38,112,150,Normal Weather,High Temp
5009,2011-08-01,3,0,8,14,0,1,1,1,0.92,0.8182,0.29,0.194,37,86,123,Normal Weather,High Temp
5010,2011-08-01,3,0,8,15,0,1,1,1,0.9,0.7879,0.27,0.0,52,77,129,Normal Weather,High Temp
5011,2011-08-01,3,0,8,16,0,1,1,1,0.9,0.7879,0.27,0.0,34,197,231,Normal Weather,High Temp
5012,2011-08-01,3,0,8,17,0,1,1,1,0.76,0.6818,0.45,0.2985,69,445,514,Normal Weather,High Temp
5013,2011-08-01,3,0,8,18,0,1,1,1,0.78,0.697,0.43,0.194,68,475,543,Normal Weather,High Temp
5014,2011-08-01,3,0,8,19,0,1,1,1,0.74,0.6667,0.51,0.2239,63,350,413,Normal Weather,High Temp
5015,2011-08-01,3,0,8,20,0,1,1,1,0.72,0.6818,0.62,0.2239,49,256,305,Normal Weather,High Temp
5016,2011-08-01,3,0,8,21,0,1,1,1,0.7,0.6515,0.7,0.2537,42,178,220,Normal Weather,High Temp
5017,2011-08-01,3,0,8,22,0,1,1,1,0.7,0.6515,0.7,0.0896,21,116,137,Normal Weather,High Temp
5018,2011-08-01,3,0,8,23,0,1,1,1,0.68,0.6364,0.74,0.194,14,82,96,Normal Weather,High Temp
5019,2011-08-02,3,0,8,0,0,2,1,1,0.66,0.6212,0.74,0.0,11,18,29,Normal Weather,High Temp
5020,2011-08-02,3,0,8,1,0,2,1,1,0.66,0.6212,0.74,0.1045,4,8,12,Normal Weather,High Temp
5021,2011-08-02,3,0,8,2,0,2,1,1,0.68,0.6364,0.69,0.0,2,6,8,Normal Weather,High Temp
5022,2011-08-02,3,0,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,0,5,5,Normal Weather,High Temp
5023,2011-08-02,3,0,8,4,0,2,1,1,0.66,0.6212,0.74,0.1045,0,10,10,Normal Weather,High Temp
5024,2011-08-02,3,0,8,5,0,2,1,1,0.66,0.6212,0.74,0.1343,4,17,21,Normal Weather,High Temp
5025,2011-08-02,3,0,8,6,0,2,1,1,0.68,0.6364,0.69,0.1045,12,105,117,Normal Weather,High Temp
5026,2011-08-02,3,0,8,7,0,2,1,1,0.72,0.6667,0.61,0.2836,15,320,335,Normal Weather,High Temp
5027,2011-08-02,3,0,8,8,0,2,1,1,0.74,0.6818,0.58,0.2836,37,398,435,Normal Weather,High Temp
5028,2011-08-02,3,0,8,9,0,2,1,1,0.78,0.697,0.46,0.2985,31,182,213,Normal Weather,High Temp
5029,2011-08-02,3,0,8,10,0,2,1,1,0.82,0.7273,0.36,0.2985,50,90,140,Normal Weather,High Temp
5030,2011-08-02,3,0,8,11,0,2,1,1,0.84,0.7273,0.32,0.4179,32,96,128,Normal Weather,High Temp
5031,2011-08-02,3,0,8,12,0,2,1,1,0.86,0.7424,0.3,0.2836,45,112,157,Normal Weather,High Temp
5032,2011-08-02,3,0,8,13,0,2,1,1,0.86,0.7424,0.3,0.2239,50,153,203,Normal Weather,High Temp
5033,2011-08-02,3,0,8,14,0,2,1,1,0.9,0.7727,0.25,0.2836,45,114,159,Normal Weather,High Temp
5034,2011-08-02,3,0,8,15,0,2,1,1,0.9,0.7727,0.25,0.2836,48,120,168,Normal Weather,High Temp
5035,2011-08-02,3,0,8,16,0,2,1,1,0.9,0.7727,0.25,0.2836,58,216,274,Normal Weather,High Temp
